NAME,LINKS
Alavuden 2. apteekki (verkkopalvelutoiminta Tuurin sivuapteekista),['https://www.tuurinapteekki.fi/']
Espoon 1. apteekki (Tapiolan apteekki),['https://www.tapiolanapteekki.fi/']
Espoon 10. apteekki (Sellon apteekki),['https://verkkokauppa.sellonapteekki.fi/fi/']
Hangon apteekki,['http://www.hangonapteekki.fi/']
Harjavallan apteekki,['https://www.harjavallanapteekki.fi/']
Hartolan apteekki,"['http://www.suomalainenverkkoapteekki.fi/', 'http://www.hartolanapteekki.fi/']"
Heinolan 1. apteekki (Heinolan Vanha apteekki),"['http://www.heinolanvanhaapteekki.fi/', 'http://www.heinolanverkkoapteekki.fi/']"
Helsingin 3. apteekki (Yliopiston apteekki),['https://www.yliopistonapteekki.fi/']
Helsingin 17. apteekki (Helsingin Kaivopuiston apteekki),['http://www.oloapteekki.fi/']
Helsingin 21. apteekki (Käpylän apteekki),['https://www.kapylanapteekki.fi/']
Helsingin 31. apteekki (Lauttasaaren keskusapteekki / Lauttiksen apteekki),['http://www.e-apteekkari.fi/']
Helsingin 32. apteekki (Munkkiniemen apteekki),['http://www.munkkiniemenapteekki.fi/']
Helsingin 37. apteekki (Herttoniemen apteekki),['https://www.herttoniemenapteekki.fi/']
Helsingin 41. apteekki (Hertsin apteekki),['http://www.hertsinapteekki.fi/']
Helsingin 54. apteekki (Vuosaaren apteekki),"['http://vuosaarenapteekki.fi/', 'http://www.vuosaarenverkkoapteekki.fi/']"
Helsingin 55. apteekki (Jakomäen apteekki),['http://www.jakomaenapteekki.fi/']
Helsingin 56. apteekki (Laajasalon apteekki),['https://www.laajasalonapteekki.fi/']
Hollolan apteekki,['https://www.hollolanapteekki.fi/']
Hyvinkään 4. apteekki (Vehkojan apteekki),['https://www.vehkojanverkkoapteekki.fi/']
Hämeenlinnan 6. apteekki (Tiiriön apteekki),['https://www.tiirionapteekki.fi/']
Iisalmen 1. apteekki (Iisalmen Ykkösapteekki),['https://www.iisalmenapteekki.fi/']
Ilmajoen apteekki,['http://ilmajoenverkkoapteekki.fi/']
Imatran 1. apteekki (Apteekki Imatra),['https://saimaanverkkoapteekki.fi/']
Juuan apteekki,['http://www.juuanapteekki.fi/']
Jyväskylän 2. apteekki (Jyväskylän Uusi apteekki),['http://www.uusiapteekkiverkossa.fi/']
Jyväskylän 8. apteekki (Vaajakosken apteekki),['http://www.aaltoapteekki.fi/']
Jyväskylän 10. apteekki (Tikkakosken apteekki),['http://www.tikkakoskenapteekki.fi/']
Jyväskylän 11. apteekki (Korpilahden apteekki),"['http://www.korpilahdenverkkoapteekki.fi/', 'http://www.pilleripoli.fi/']"
Kajaanin 2. apteekki (Veturi apteekki),['http://www.veturiapteekki.fi/']
Kangasalan 2. apteekki (Suoraman apteekki),['http://www.suoramanapteekki.fi/']
Kankaanpään 1. apteekki (Keskusapteekki),['http://www.kankaanpaankeskusapteekki.fi/']
Kauniaisten apteekki,"['https://www.kauniaistenapteekki.fi/', 'https://www.grankullaapotek.fi/', 'https://www.keskusfarma.fi/']"
Kemiönsaaren 1. apteekki (Kimito apotek),['https://www.kimitoapotek.fi/']
Kempeleen 2. apteekki (Zeppelinin apteekki),['http://www.zeppelininapteekki.fi/']
Kiteen 1. apteekki,['http://www.kiteenverkkoapteekki.fi/']
Kokemäen apteekki,['http://www.kokemaenapteekki.fi/']
Kokkolan 2. apteekki (Tervahovin apteekki),['http://www.kauppa.tervahovinapteekki.fi/']
Kokkolan 4. apteekki (Kälviän apteekki),['http://www.kalvianverkkoapteekki.fi/']
Kouvolan 1. apteekki (Valtarin apteekki),['http://www.kouvolanverkkoapteekki.fi/']
Kouvolan 5. apteekki (Tornionmäen apteekki),['http://www.tornionmaenverkkoapteekki.fi/']
Kouvolan 7. apteekki (Kauppakeskus Veturin apteekki),['https://www.apteekkikulma.fi/']
Kuopion 8. apteekki (Petosen Apteekki),['https://www.apteekkinettikauppa.fi/']
Kuopion 13. apteekki (Juankosken apteekki),['http://www.juankoskenapteekki.fi/']
Lahden 2. apteekki (Apteekki Trio),['http://www.verkkoapteekkitrio.fi/']
Lahden 4. apteekki (Lahden Keskusapteekki),['http://www.omaeapteekki.fi/']
Lappeenrannan 1. apteekki (Apteekki Saimaa),['http://nettiapteekkisaimaa.fi/']
Lapuan 2. apteekki (Keskusapteekki),['http://www.lapuanapteekki.fi/']
Liedon apteekki,['http://www.liedonverkkoapteekki.fi/']
Lieksan 3. apteekki (Pielis apteekki),['http://www.pielisapteekki.fi/']
Liperin 2. apteekki (Ylämyllyn apteekki),['http://www.ylamyllynverkkoapteekki.fi/']
Maarianhaminan 1. apteekki (Ensimmäinen apteekki),['https://www.apoteket.ax/']
Maarianhaminan 2. apteekki (Keskusapteekki),"['https://www.central-apoteket.ax/', 'https://central-apoteket-i-mariehamn.eapteekki.fi/']"
Maskun apteekki,['http://www.maskunapteekki.fi/']
Mikkelin 1. apteekki,['http://www.mikkelinapteekki.fi/']
Muhoksen apteekki,['https://muhoksenapteekki.fi/']
Mäntsälän 1. apteekki (Mäntsälän Ykkösapteekki),['https://www.mantsalanykkosapteekki.fi/']
Naantalin 2. apteekki (Apteekkisydän),['http://apteekkisydan.fi/']
Nokian 1. apteekki,['http://www.oma-apteekki.fi/']
Nurmijärven 4. apteekki (Klaukkalan Uusi apteekki),['http://www.klaukkalanuusiapteekki.fi/']
Oriveden apteekki,['http://www.oriapteekki.fi/']
Oulun 2. apteekki (Rotuaarin apteekki),['http://www.rotuaarinverkkoapteekki.fi/']
Oulun 8. apteekki (Pateniemen apteekki),['http://www.pateniemenverkkoapteekki.fi/']
Oulun 9. apteekki (Ruskon apteekki),['http://www.ruskonapteekki.fi/']
Oulun 10. apteekki (Linnanmaan apteekki),['https://apteekkinne.fi/fi/']
Oulun 13. apteekki (Kiimingin apteekki),['http://www.arkiapteekki.fi/']
Oulun 15. apteekki (Oulunsalon apteekki),['http://www.oulunsalonverkkoapteekki.fi/']
Outokummun apteekki,['https://siunapteekki.fi/']
Pellon apteekki,['http://www.xn--menapteekki-m8a.fi/']
Pietarsaaren 3. apteekki (Medi-apteekki),['http://www.mediapteekki.fi/']
Pirkkalan 1. apteekki,['https://www.pirkkalanapteekki.fi/']
Porin 3. apteekki (Puuvillan apteekki),['http://www.puuvillanapteekki.fi/']
Porin 6. apteekki (Asema-apteekki),['http://www.asema-apteekki.fi/']
Porin 8. apteekki (Länsi-Porin Uusi apteekki),['http://www.lansiporinuusiverkkoapteekki.fi/']
Pudasjärven apteekki,['https://pudasjarvenapteekki.fi/fi/']
Raaseporin 1. (Tammisaaren) apteekki,['http://www.ekenas1apotek.fi/']
Raaseporin 4. apteekki (Karjaan apteekki),['https://karjaanapteekki.fi/']
Riihimäen 2. apteekki (Aarre apteekki),['http://www.aarreapteekki.fi/']
Salon 3. apteekki (Halikon apteekki),['http://www.salonverkkoapteekki.fi/']
Sastamalan 1. apteekki (Sastamalan Vammalan 1. apteekki),['http://www.hyvinvointiapteekki.fi/']
Sipoon 1. apteekki (Sipoon apteekki),"['http://www.xn--nikkilnapteekki-5kb.fi/', 'http://www.nickbyapotek.fi/']"
Sipoon 2. apteekki (Söderkullan apteekki),['https://www.sipoonverkkoapteekki.fi/']
Sodankylän apteekki,['https://www.sodankylanapteekki.fi/']
Suomussalmen apteekki,['http://www.suomussalmenverkkoapteekki.fi/']
Säkylän apteekki,['http://www.apteekkikotona.fi/']
Tampereen 3. apteekki (Tammerkosken apteekki),['https://tammerkoskenapteekki.fi/']
Tampereen 9. apteekki (Lempi apteekki),['http://www.lempiapteekki.fi/']
Tampereen 14. apteekki (Moroapteekki),['https://eapteekkitampere.fi/fi/']
Tampereen 19. apteekki (Linnainmaan apteekki),['https://apteekkinne.fi/']
Turun 13. apteekki (Kupittaan apteekki),['http://www.apteekkiextra.fi/']
Turun 20. apteekki (Skanssin apteekki),['http://www.verkkoapteekit.fi/']
Uudenkaarlepyyn apteekki,"['http://www.nykarlebyapotek.fi/', 'http://www.uudenkaarlepyynapteekki.fi/']"
Uudenkaupungin 1. apteekki,['https://www.apteekkipalvelu.fi/']
Vaasan 2. apteekki (Vaasan Keskusapteekki),"['https://www.apocentral.fi/', 'https://www.vaasankeskusapteekki.fi/', 'https://vasacentralapotek.fi/']"
Vaasan 5. apteekki (Kuninkaan apteekki),['http://www.vaasankuninkaanapteekki.fi/']
Vaasan 6. apteekki (Apteekki Kivihaka),['http://www.apteekkikivihaka.fi/']
Vantaan 3. apteekki (Korson apteekki),['http://www.korsonapteekki.fi/']
Vantaan 8. apteekki (Koivukylän apteekki),['http://www.apomera.fi/']
Vantaan 11. apteekki (Pähkinärinteen apteekki),['https://www.pahkinarinteenapteekki.fi/']
Vantaan 15. apteekki (Tammiston apteekki),"['http://www.apteekkishoppi.fi/', 'http://www.lemmikkishoppi.fi/']"
Vihdin 1. apteekki (Vihdin apteekki),['http://www.vihdinapteekki.fi/']
Vihdin 2. apteekki (Nummelan apteekki),['http://www.verkkoapteekkisi.fi/']
Vihdin 3. apteekki (Nummelan Uusi apteekki),['http://www.airapteekki.fi/']
Ylivieskan 1. apteekki (Ykkösapteekki),"['http://www.ylivieskanykkosapteekki.fi/', 'http://www.y-ya.fi/']"
Ylivieskan 2. apteekki (Savarin apteekki),['http://www.savarinapteekki.fi/']
